id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1772014800000000000,1772014800000,5500000,2.86125,2.86155,2.86115,2.86115,694,266,428,2.861320172910664,2.86115,2.86125,2.86155,2.86115,2.86155,2.86125,0.00000,0.00000,0.00000,0.00000,0.00040,2.86126,0.00000,0.00000,0.00000,0.00000,2.86115,0.00040,2.86115,2.86115,2.86115,0.00000,0.00000,0.00000,0.00000,24.97020,2.86125,2.86115,2.86115,2.86115
1772015100000000000,1772015100000,5500001,2.8612,2.8614,2.86115,2.8614,1060,640,420,2.8613432547169806,2.86115,2.86122,2.86146,2.86115,2.86155,2.86123,0.00000,0.00000,0.00000,-0.00015,0.00025,2.86126,0.00000,0.00000,0.00000,0.00000,5.72230,0.00039,2.86115,2.86115,2.86115,0.00000,0.00000,0.00000,100.00000,12.51490,2.86122,2.86115,2.86115,2.86115
1772015400000000000,1772015400000,5500002,2.8614,2.8616,2.8611,2.8611,764,211,553,2.86133579842932,2.86113,2.86131,2.86150,2.86112,2.86155,2.86127,0.00000,0.00000,0.00000,0.00005,0.00050,2.86126,0.00000,0.00000,0.00000,0.00000,8.58340,0.00040,2.86113,2.86113,2.86113,0.00000,0.00000,0.00000,100.00000,59.99046,2.86127,2.86113,2.86116,2.86111
1772015700000000000,1772015700000,5500003,2.8611,2.8611,2.8608,2.86085,1482,1297,185,2.860935290148448,2.86105,2.86122,2.86135,2.86100,2.86154,2.86125,0.00000,2.86110,0.00000,-0.00045,0.00030,2.86126,0.00000,0.00000,0.00000,0.00000,11.44420,0.00039,2.86105,2.86105,2.86105,0.00000,0.00000,0.00000,0.00000,37.49627,2.86121,2.86101,2.86117,2.86085
1772016000000000000,1772016000000,5500004,2.86085,2.86095,2.8605,2.8605,737,406,331,2.8607451831750335,2.86094,2.86110,2.86129,2.86083,2.86152,2.86120,0.00000,0.00000,0.00000,-0.00060,0.00045,2.86126,0.00000,0.00000,0.00000,0.00000,14.30470,0.00040,2.86094,2.86094,2.86094,0.00000,0.00000,0.00000,0.00000,31.82311,2.86115,2.86093,2.86119,2.86067
1772016300000000000,1772016300000,5500005,2.8605,2.86065,2.8602,2.8603,383,224,159,2.8604577023498696,2.86082,2.86093,2.86124,2.86065,2.86150,2.86112,0.00000,0.00000,0.00000,-0.00090,0.00045,2.86126,0.00000,0.00000,0.00000,0.00000,17.16490,0.00040,2.86082,2.86082,2.86082,0.00000,0.00000,0.00000,0.00000,21.44073,2.86110,2.86088,2.86122,2.86054
1772016600000000000,1772016600000,5500006,2.8603,2.8603,2.85995,2.86005,592,197,395,2.8600994087837837,2.86069,2.86077,2.86114,2.86048,2.86147,2.86103,0.00000,0.00000,0.00000,-0.00125,0.00035,2.86126,0.00000,0.00000,0.00000,0.00000,20.02485,0.00040,2.86069,2.86069,2.86069,0.00000,0.00000,0.00000,0.00000,21.21387,2.86102,2.86078,2.86124,2.86032
1772016900000000000,1772016900000,5500007,2.85995,2.8602,2.85995,2.86015,628,432,196,2.8600383757961776,2.86060,2.86059,2.86105,2.86036,2.86144,2.86094,0.00000,0.00000,0.00000,-0.00135,0.00025,2.86126,0.00000,0.00000,0.00000,0.00000,22.88480,0.00039,2.86060,2.86060,2.86060,0.00000,0.00000,0.00000,0.00000,0.00000,2.86092,2.86070,2.86123,2.86017
1772017200000000000,1772017200000,5500008,2.86015,2.86025,2.8599,2.85995,492,202,290,2.860091361788619,2.86052,2.86050,2.86099,2.86027,2.86141,2.86085,0.00000,0.00000,0.00000,-0.00130,0.00035,2.86126,0.00000,0.00000,0.00000,0.00000,25.74470,0.00039,2.86052,2.86052,2.86052,0.00000,0.00000,0.00000,0.00000,14.71248,2.86086,2.86064,2.86121,2.86007
1772017500000000000,1772017500000,5500009,2.85995,2.8602,2.8599,2.8602,1507,362,1145,2.8600335766423366,2.86046,2.86040,2.86085,2.86020,2.86138,2.86077,0.00000,0.00000,0.00000,-0.00120,0.00030,2.86126,0.00000,0.00000,0.00000,0.00000,28.60460,0.00038,2.86046,2.86046,2.86046,0.00000,0.00000,0.00000,0.00000,2.94530,2.86070,2.86051,2.86111,2.85990
