id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,prices
1778796000000000000,1778796000000,24980000,8135,8135.75,8133.75,8135.75,71,18,53,8135.088028169014,8135:24;8133.75:1;8134:3;8134.75:16;8135.5:23;8135.75:4
1778796066000000000,1778796066000,24980001,8136,8137.25,8135.5,8137.25,129,39,90,8136.191860465116,8136:23;8136.5:16;8135.75:24;8135.5:19;8136.25:24;8137:10;8137.25:13
1778796132000000000,1778796132000,24980002,8137.75,8138,8137,8137.5,107,60,47,8137.553738317757,8137.75:11;8137:31;8138:37;8137.5:28
1778796198000000000,1778796198000,24980003,8137.5,8137.5,8134.75,8135.5,855,829,26,8135.564619883041,8137.5:22;8136.75:9;8137.25:11;8135.75:22;8134.75:15;8135:22;8135.25:10;8135.5:744
1778796265000000000,1778796265000,24980004,8134,8138.75,8134,8138.25,95,49,46,8137.078947368421,8134:8;8134.25:4;8135.25:9;8135.75:13;8137.5:9;8138.75:10;8138.25:42
1778796331000000000,1778796331000,24980005,8138,8138,8135.5,8135.5,90,42,48,8136.966666666666,8138:33;8136.5:1;8137.25:15;8137.5:9;8135.75:17;8135.5:15
1778796397000000000,1778796397000,24980006,8137,8137.25,8135.25,8135.25,580,74,506,8136.83275862069,8137:474;8136.75:25;8137.25:14;8136.25:20;8135.5:12;8135.25:35
1778796464000000000,1778796464000,24980007,8134,8134,8131.75,8133,118,71,47,8132.932203389831,8134:23;8132:11;8131.75:15;8132.75:18;8133:38;8133.25:13
1778796530000000000,1778796530000,24980008,8133.25,8134.5,8132.75,8134.5,113,113,0,8133.449115044248,8133.25:52;8133.75:7;8132.75:22;8133.5:10;8134.5:22
1778796596000000000,1778796596000,24980009,8134.5,8137.75,8133.75,8137.75,122,76,46,8134.875,8134.5:31;8134:14;8133.75:22;8134.75:25;8136.25:23;8137.75:7
1778796662000000000,1778796662000,24980010,8137.75,8139.5,8137.75,8139.5,134,72,62,8138.505597014925,8137.75:43;8139.25:29;8138.75:16;8138:10;8138.25:19;8139.5:17
1778796729000000000,1778796729000,24980011,8139,8141.5,8138.75,8141.5,970,915,55,8138.886340206185,8139:5;8139.25:27;8140.25:21;8138.75:880;8140:10;8141.25:3;8141.5:24
1778796795000000000,1778796795000,24980012,8140.5,8140.5,8139,8139,100,28,72,8139.4425,8140.5:12;8139.5:21;8139:46;8139.75:13;8140.25:4;8139.25:4
1778796861000000000,1778796861000,24980013,8140.75,8140.75,8137.75,8137.75,110,54,56,8138.763636363637,8140.75:20;8140:13;8138:41;8138.25:24;8137.75:12
1778796928000000000,1778796928000,24980014,8137,8137.5,8135,8136,106,61,45,8136.438679245283,8137:14;8136.25:14;8137.5:19;8136.5:18;8136.75:11;8135:16;8135.25:1;8136:13
1778796994000000000,1778796994000,24980015,8136,8136.5,8134.5,8135,331,89,242,8135.6888217522655,8136:17;8136.5:24;8134.5:21;8135.25:22;8135.75:240;8135:7
1778797060000000000,1778797060000,24980016,8136.75,8137.25,8135.25,8136.75,96,95,1,8136.338541666667,8136.75:48;8137.25:1;8136.25:6;8135.75:22;8136:18;8135.25:1
1778797126000000000,1778797126000,24980017,8136.25,8137,8135.25,8136.75,102,77,25,8136.5,8136.25:5;8135.75:24;8135.25:1;8137:43;8136:11;8136.75:18
1778797193000000000,1778797193000,24980018,8136,8141,8136,8141,138,72,66,8138.059782608696,8136:21;8136.25:18;8137:20;8137.25:15;8138.25:16;8139:12;8140:11;8141:25
1778797259000000000,1778797259000,24980019,8141.5,8142.5,8141.5,8142.5,256,222,34,8141.9208984375,8141.5:41;8141.75:143;8142.5:72
1778797325000000000,1778797325000,24980020,8142,8142.25,8139.5,8139.5,177,139,38,8141.90395480226,8142:38;8142.25:87;8141.75:23;8141.5:10;8140.75:6;8140.5:12;8139.5:1
1778797392000000000,1778797392000,24980021,8138.75,8140.5,8138.5,8140.5,79,30,49,8139.737341772152,8138.75:3;8139.75:2;8140:27;8139.5:10;8138.5:15;8140.5:22
1778797458000000000,1778797458000,24980022,8141,8141,8139,8139.25,247,180,67,8140.121457489879,8141:19;8140.75:113;8140.25:11;8139:49;8139.75:24;8139.5:7;8139.25:24
1778797524000000000,1778797524000,24980023,8138.25,8140.25,8137.25,8140.25,123,122,1,8138.382113821138,8138.25:12;8138.75:1;8137.75:1;8137.25:15;8138:62;8139.5:23;8140.25:9
1778797591000000000,1778797591000,24980024,8141,8145.25,8141,8144.5,88,17,71,8142.900568181818,8141:19;8141.75:27;8142.5:5;8144.25:7;8145:22;8145.25:1;8144.5:7
1778797657000000000,1778797657000,24980025,8142.75,8145.25,8142.75,8145.25,198,44,154,8144.613636363636,8142.75:24;8143.25:7;8144:24;8144.75:35;8145:18;8145.25:90
1778797723000000000,1778797723000,24980026,8144.25,8145.5,8143.5,8143.5,161,128,33,8144.260869565217,8144.25:36;8144:19;8143.5:53;8145:40;8145.5:13
1778797789000000000,1778797789000,24980027,8143.25,8143.25,8139.75,8141.25,93,92,1,8141.4220430107525,8143.25:25;8141.25:23;8140.25:1;8140.5:19;8139.75:10;8141:15
1778797856000000000,1778797856000,24980028,8142,8144.75,8142,8144.75,58,38,20,8144.362068965517,8142:4;8142.75:1;8144.25:13;8144.75:36;8144:4
1778797922000000000,1778797922000,24980029,8144.75,8144.75,8142.75,8143.5,105,60,45,8143.909523809524,8144.75:16;8144.25:24;8143.5:17;8144.5:20;8143:24;8142.75:4
1778797988000000000,1778797988000,24980030,8144,8146,8144,8146,323,266,57,8144.232198142415,8144:238;8144.75:25;8144.5:28;8145:5;8144.25:4;8145.25:13;8146:10
1778798055000000000,1778798055000,24980031,8147.5,8149.5,8146.25,8149.5,289,63,226,8148.090830449827,8147.5:3;8148:207;8147.75:9;8147.25:1;8146.25:10;8148.25:19;8148.75:22;8149.5:18
1778798121000000000,1778798121000,24980032,8150.75,8151,8149.25,8149.25,107,68,39,8150.420560747663,8150.75:10;8150.25:9;8151:41;8150:28;8149.75:17;8149.25:2
1778798187000000000,1778798187000,24980033,8150,8154.25,8150,8153.5,89,21,68,8152.252808988764,8150:21;8151:14;8152.75:14;8153.5:29;8154.25:10;8154:1
1778798253000000000,1778798253000,24980034,8155.25,8155.25,8152.25,8154,91,76,15,8153.854395604396,8155.25:8;8153.25:7;8154:32;8154.75:23;8153.75:1;8152.25:20
1778798320000000000,1778798320000,24980035,8154.75,8156.25,8154.25,8156.25,109,72,37,8155.254587155963,8154.75:2;8154.25:12;8154.5:24;8155.5:8;8155.25:25;8155.75:17;8156.25:21
1778798386000000000,1778798386000,24980036,8156,8156.25,8152.75,8153.5,466,415,51,8155.701180257511,8156:218;8156.25:178;8154.75:4;8153.75:4;8153:6;8152.75:2;8153.25:41;8153.5:13
